forme;predicat;date;lieux;titre;article_url;lieux_detail;lieux_urls
Tatienne Fourest;démissionne;2017-07-19 00:00:00;Bono , Plan;<p>Tatienne Fourest démissionne du conseil municipal</p>;http://troove.ouest-france.fr/article/MjAxN2EzNzdiZGM4YmZlNGUwNTA3NTVhZWIzNmU4OTRhYWZiZg;[{'id': '0VJ9FPmESZCigNav2Ao0OQ', 'zone': '2', 'debut': 121, 'fin': 125, 'position': [-2.939501, 47.6369], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Bono'}, {'id': 'V2etLzR4T6OP9dDJ18D9xQ', 'zone': '2', 'debut': 2075, 'fin': 2079, 'position': [5.39239, 45.317135], 'departement': '-RLM_4u5S764jbVC_BEMRw', 'forme': 'Plan'}, {'id': '0VJ9FPmESZCigNav2Ao0OQ', 'zone': 'geographie', 'debut': 3, 'fin': 7, 'position': [-2.939501, 47.6369], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Bono'}];http://troove.ouest-france.fr/lieu/V2etLzR4T6OP9dDJ18D9xQ?Plan http://troove.ouest-france.fr/lieu/0VJ9FPmESZCigNav2Ao0OQ?Bono
Olivier Kilman;démissionne;2017-03-28 00:00:00;Plougoumelen , Morbihan , Vannes;<p>Olivier Kilman démissionne du conseil municipal</p>;http://troove.ouest-france.fr/article/MjAxN2E4ZDZhZDAxMzU3ZGM4OGExMjZkNDAxZWEwZDQ4MmQ2Ng;[{'id': '65AtCWQoQjGe3apUJJEbhg', 'zone': '1', 'debut': 98, 'fin': 110, 'position': [-2.897863, 47.66084], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Plougoumelen'}, {'id': 'C80NjYgyR16Js4ZKjtxm6g', 'zone': '1', 'debut': 173, 'fin': 181, 'forme': 'Morbihan'}, {'id': 'm_i9aC07QsSPDv_WcZAfHg', 'zone': '1', 'debut': 182, 'fin': 188, 'position': [-2.7571433, 47.659748], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Vannes'}, {'id': '65AtCWQoQjGe3apUJJEbhg', 'zone': 'geographie', 'debut': 0, 'fin': 12, 'position': [-2.897863, 47.66084], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Plougoumelen'}];http://troove.ouest-france.fr/lieu/65AtCWQoQjGe3apUJJEbhg?Plougoumelen http://troove.ouest-france.fr/lieu/m_i9aC07QsSPDv_WcZAfHg?Vannes http://troove.ouest-france.fr/lieu/C80NjYgyR16Js4ZKjtxm6g?Morbihan
Alain Laurent;démissionne;2017-11-07 00:00:00;Angers;Avrillé. Alain Laurent démissionne du conseil municipal;http://troove.ouest-france.fr/article/MjAxN2JkYjZmMzA5Y2EyNzNlZjRkOGFiZmQ0Y2I5YzljZWQ5ZA;[{'id': 'LTErYx9LSMC3yNuj2SeP9g', 'zone': 'geographie', 'debut': 0, 'fin': 6, 'position': [-0.556126, 47.476837], 'departement': 'Fx-YncMYRPSCw8RhKOKr_g', 'forme': 'Angers'}];http://troove.ouest-france.fr/lieu/LTErYx9LSMC3yNuj2SeP9g?Angers
Joseph Collet;prend;2017-11-17 00:00:00;Trévé;<p>Une démission au conseil municipal</p>;http://troove.ouest-france.fr/article/MjAxN2JhMTk1MjY5ODIzNTdhMWU5Y2Y5ZjJkZTJiNzIwMGUwNw;[{'id': 'VlyR9gruQxuMUZbNaVCuxA', 'zone': '2', 'debut': 120, 'fin': 125, 'position': [-2.8069832, 48.216015], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Trévé'}, {'id': 'VlyR9gruQxuMUZbNaVCuxA', 'zone': 'geographie', 'debut': 0, 'fin': 5, 'position': [-2.8069832, 48.216015], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Trévé'}];http://troove.ouest-france.fr/lieu/VlyR9gruQxuMUZbNaVCuxA?Trévé
Malandain;démissionné;2017-11-10 00:00:00;Lorient , Port-Louis;Port-Louis (56). Démission au sein du conseil municipal;http://troove.ouest-france.fr/article/MjAxN2I1ZTJhMzM2OGRhOTg0MDQ1ODI1ZTQ3MDIxZjNmODNkMQ;[{'id': '6BU6iwXlThumL9NQmcwP5g', 'zone': '0', 'debut': 0, 'fin': 10, 'position': [-3.3484576, 47.70992], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Port-Louis'}, {'id': '6BU6iwXlThumL9NQmcwP5g', 'zone': '1', 'debut': 72, 'fin': 82, 'position': [-3.3484576, 47.70992], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Port-Louis'}, {'id': 'OuY9Wpl7REOcPanAtYoOuQ', 'zone': 'geographie', 'debut': 0, 'fin': 7, 'position': [-3.378232, 47.75005], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Lorient'}];http://troove.ouest-france.fr/lieu/OuY9Wpl7REOcPanAtYoOuQ?Lorient http://troove.ouest-france.fr/lieu/6BU6iwXlThumL9NQmcwP5g?Port-Louis
Stéphanie Bébin;démissionne;2017-09-16 00:00:00;Berric , Questembert;<p>Stéphanie Bébin démissionne du conseil municipal</p>;http://troove.ouest-france.fr/article/MjAxN2JlODUxZWE5MjBhNGYxNzUwZDAxYTMyMmMyMTNkN2M5Yg;[{'id': '382_3WE6T5SyGsnXhJvfrg', 'zone': '1', 'debut': 923, 'fin': 934, 'position': [-2.4367108, 47.663803], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Questembert'}, {'id': '382_3WE6T5SyGsnXhJvfrg', 'zone': '1', 'debut': 1034, 'fin': 1045, 'position': [-2.4367108, 47.663803], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Questembert'}, {'id': '6kXkvuwjRjKRBZaL8hi8JQ', 'zone': 'geographie', 'debut': 0, 'fin': 6, 'position': [-2.5275292, 47.638523], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Berric'}];http://troove.ouest-france.fr/lieu/382_3WE6T5SyGsnXhJvfrg?Questembert http://troove.ouest-france.fr/lieu/6kXkvuwjRjKRBZaL8hi8JQ?Berric
Claude Crépin;démissionné;2017-03-16 00:00:00;Saint-Pierre-sur-Dropt , Duras;<p>Conseil municipal. Jean-Claude Crépin a démissionné</p>;http://troove.ouest-france.fr/article/MjAxN2E0MmM3OWMyMDQ4MDcxOWFlNTdjYmFmZmVjMzUzYmQzOQ;[{'id': 'cZwoMpGUSyy39bX13ObuSA', 'zone': '2', 'debut': 1629, 'fin': 1634, 'position': [0.20141403, 44.676014], 'departement': 'YWYUXLAcTZC1uTH1uUoGxQ', 'forme': 'Duras'}, {'id': 'Nym1ESnATjuv97J4GXPChA', 'zone': 'geographie', 'debut': 0, 'fin': 22, 'position': [0.20650364, 44.648666], 'departement': 'YWYUXLAcTZC1uTH1uUoGxQ', 'forme': 'Saint-Pierre-sur-Dropt'}];http://troove.ouest-france.fr/lieu/cZwoMpGUSyy39bX13ObuSA?Duras http://troove.ouest-france.fr/lieu/Nym1ESnATjuv97J4GXPChA?Saint-Pierre-sur-Dropt
Guénaëlle Payet;démissionne;2017-10-05 00:00:00;Lannion , Côtes-d'Armor;<p>Conseil municipal. Guénaëlle Payet démissionne</p>;http://troove.ouest-france.fr/article/MjAxN2IwNThmNmJhYjFhNzFkYzI3N2Q5ZDhkZGQxYmJmNjNmMw;"[{'id': 's6r6DBvLSQeN8Dpj4dECsA', 'zone': '1', 'debut': 432, 'fin': 439, 'position': [-3.461598, 48.74335], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Lannion'}, {'id': '2FUGnWnzQkmIxSdWQi4OrQ', 'zone': 'geographie', 'debut': 0, 'fin': 13, 'forme': ""Côtes-d'Armor""}]";http://troove.ouest-france.fr/lieu/s6r6DBvLSQeN8Dpj4dECsA?Lannion http://troove.ouest-france.fr/lieu/2FUGnWnzQkmIxSdWQi4OrQ?Côtes-d'Armor
Thérèse Prigent;remis;2017-08-10 00:00:00;Plougrescant;<p>Conseil municipal. Démission de l'opposition</p>;http://troove.ouest-france.fr/article/MjAxN2JmMDc2M2UxNjEzOTJiM2M0NWRhZWM5NjdhNWZmMmQzOA;[{'id': 'ZXZDBeXVSqG51nBJ1g1ctg', 'zone': '1', 'debut': 34, 'fin': 46, 'position': [-3.2415493, 48.838947], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Plougrescant'}, {'id': 'ZXZDBeXVSqG51nBJ1g1ctg', 'zone': '1', 'debut': 249, 'fin': 261, 'position': [-3.2415493, 48.838947], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Plougrescant'}, {'id': 'ZXZDBeXVSqG51nBJ1g1ctg', 'zone': '1', 'debut': 2616, 'fin': 2628, 'position': [-3.2415493, 48.838947], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Plougrescant'}, {'id': 'ZXZDBeXVSqG51nBJ1g1ctg', 'zone': '1', 'debut': 2847, 'fin': 2859, 'position': [-3.2415493, 48.838947], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Plougrescant'}, {'id': 'ZXZDBeXVSqG51nBJ1g1ctg', 'zone': 'geographie', 'debut': 0, 'fin': 12, 'position': [-3.2415493, 48.838947], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Plougrescant'}];http://troove.ouest-france.fr/lieu/ZXZDBeXVSqG51nBJ1g1ctg?Plougrescant
Bouchaud;démissionné;2017-12-29 00:00:00;Saint-Père-en-Retz;<p>Conseil municipal. Chantal Leduc-Bouchaud a démissionné</p>;http://troove.ouest-france.fr/article/MjAxN2IwYzY2M2ExMDY1MDQ4NTViN2FjZjZiYzQ2ZTIxZTcwMA;[{'id': 'LsNAATxSTtqDq1F-f8XSfg', 'zone': 'geographie', 'debut': 0, 'fin': 18, 'position': [-2.0660472, 47.22538], 'departement': 'A1WTH52iRi-XwyLykBjyVw', 'forme': 'Saint-Père-en-Retz'}];http://troove.ouest-france.fr/lieu/LsNAATxSTtqDq1F-f8XSfg?Saint-Père-en-Retz
